Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
Locust Manor Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.685926,-73.756171,POINT (-73.756171 40.685926)
Holy Cow Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741371,-73.776439,POINT (-73.776439 40.741371)
"Mulberry Street Library, NYPL",Library,NYPL,Not Operational,Future,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/mulberry-street,40.724148,-73.995686,POINT (-73.995686 40.724148)
Clark Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.813973,-73.921217,POINT (-73.921217 40.813973)
Elmhurst Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.730523,-73.885101,POINT (-73.885101 40.730523)
North Meadow Recreation Center,Park,NYC Parks,Operational,Year Round,7am - dusk,,,,,,40.79115,-73.959598,POINT (-73.959598 40.79115)
Lanett Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.599303,-73.744247,POINT (-73.744247 40.599303)
Fulton Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.679792,-73.931616,POINT (-73.931616 40.679792)
Pelham Bay Stable,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.865923,-73.813975,POINT (-73.813975 40.865923)
Hamilton Metz Field,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.662623,-73.94066,POINT (-73.94066 40.662623)
"Pier 57 - Ground Floor, Rooftop",Park,Hudson River Park,Operational,Year Round,"6am - 1am, 7am - 10pm",Fully Accessible,,,,,40.74354,-74.010294,POINT (-74.010294 40.74354)
Levy Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.633805,-74.129123,POINT (-74.129123 40.633805)
Taylor Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.839018,-73.866165,POINT (-73.866165 40.839018)
Gorman Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.761939,-73.884157,POINT (-73.884157 40.761939)
"New Dorp Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm  
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/new-dorp,40.57194,-74.11196,POINT (-74.11196 40.57194)
Rockaway Community Playground,Park,NYC Parks,Not Operational,,,,,,,,40.5983,-73.784843,POINT (-73.784843 40.5983)
Rockaway Beach 06b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.58297,-73.817549,POINT (-73.817549 40.58297)
Ferry Point Park Zone 4,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.820172,-73.826276,POINT (-73.826276 40.820172)
McDonald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.601157,-73.97217,POINT (-73.97217 40.601157)
Potomac Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.682054,-73.944239,POINT (-73.944239 40.682054)
575 Fifth Avenue POPS,Privately Owned Public Space,575 Fifth Associates,Operational,Year Round,Everyday 7:00 am-12:00 am,Fully Accessible,Multi-Stall W/M Restrooms,Yes,,,40.756276,-73.978243,POINT (-73.978243 40.756276)
"Spring Creek Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/spring-creek,40.653218,-73.885868,POINT (-73.885868 40.653218)
"Middle Village Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/middle-village,40.712942,-73.880861,POINT (-73.880861 40.712942)
Schmul Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.590111,-74.187877,POINT (-74.187877 40.590111)
"DeKalb Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/dekalb,40.694825,-73.9284,POINT (-73.9284 40.694825)
Queensboro Oval Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Seasonal,Concession Operating Hours,,,,,,40.759246,-73.960029,POINT (-73.960029 40.759246)
"McGoldrick Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Multi-Stall All Gender Restrooms,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/mcgoldrick,40.763759,-73.809835,POINT (-73.809835 40.763759)
Fulton St (A-C) MTA Restroom,Transit,NYCT,Operational,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.710532,-74.009096,POINT (-74.009096 40.710532)
De Hostos Playground,Park,NYC Parks,Not Operational,,,,,,,,40.702544,-73.949544,POINT (-73.949544 40.702544)
McLaughlin Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.696674,-73.986049,POINT (-73.986049 40.696674)
Mt Prospect Park Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.672159,-73.965872,POINT (-73.965872 40.672159)
Magenta Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.87355,-73.867834,POINT (-73.867834 40.87355)
Cunningham Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.726692,-73.775443,POINT (-73.775443 40.726692)
Lower Highland Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.684039,-73.885802,POINT (-73.885802 40.684039)
"Saratoga Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/saratoga,40.684818,-73.915134,POINT (-73.915134 40.684818)
"Borough Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	CLOSED
Sunday	12 pm to 5 pm",Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/borough-park,40.638897,-73.989005,POINT (-73.989005 40.638897)
P.S. 155 Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.797535,-73.935336,POINT (-73.935336 40.797535)
Rockaway Beach 07b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.580565,-73.826117,POINT (-73.826117 40.580565)
"Arverne Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/arverne,40.593155,-73.784041,POINT (-73.784041 40.593155)
Bowne Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.770424,-73.806335,POINT (-73.806335 40.770424)
Alice Kornegay Triangle,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.806548,-73.935583,POINT (-73.935583 40.806548)
"Ozone Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/ozone-park,40.680875,-73.84649,POINT (-73.84649 40.680875)
Bensonhurst Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.595081,-74.001441,POINT (-74.001441 40.595081)
"Bloomingdale Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 11:00 am - 7:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Multi-Stall All Gender Restrooms,"""Yes, in women's restroom only""",,https://www.nypl.org/locations/bloomingdale,40.795882,-73.967608,POINT (-73.967608 40.795882)
Willowbrook Park Recreational Area,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.604166,-74.158609,POINT (-74.158609 40.604166)
Raymond OConnor Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.771005,-73.779037,POINT (-73.779037 40.771005)
St. Michael's Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.758313,-73.900281,POINT (-73.900281 40.758313)
Ten Eyck Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.709027,-73.938911,POINT (-73.938911 40.709027)
"Long Island City Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/long-island-city,40.757812,-73.939311,POINT (-73.939311 40.757812)
Dyckman Street Marina,Park,NYC Parks Concessionaire,Not Operational,Seasonal,Concession Operating Hours,,,,,,40.868615,-73.932281,POINT (-73.932281 40.868615)
Sobelsohn Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.709864,-73.835451,POINT (-73.835451 40.709864)
"Riverdale Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/riverdale,40.903731,-73.902774,POINT (-73.902774 40.903731)
"Carroll Gardens Library, BPL",Library,BPL,Closed for Construction,Year Round,,Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/carroll-gardens,40.683222,-73.99802,POINT (-73.99802 40.683222)
Paerdegat Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.638066,-73.938139,POINT (-73.938139 40.638066)
Hunter's Point South Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.741975,-73.96084,POINT (-73.96084 40.741975)
Abraham Lincoln Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.812282,-73.937099,POINT (-73.937099 40.812282)
"Queens Central Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/central-library,40.707881,-73.794679,POINT (-73.794679 40.707881)
Battery Park Zone 1,Park,NYC Parks,Operational,Year Round,9am - 4:30pm,,,,,,40.704414,-74.015876,POINT (-74.015876 40.704414)
Carnegie Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71599,-73.93732,POINT (-73.93732 40.71599)
Colden Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.770148,-73.827043,POINT (-73.827043 40.770148)
"Terence Cardinal Cooke-Cathedral Library, NYPL",Library,NYPL,Closed,,,,,,,https://www.nypl.org/locations/cathedral,40.756811,-73.972542,POINT (-73.972542 40.756811)
Friends Field,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.618665,-73.97202,POINT (-73.97202 40.618665)
Dimattina Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680473,-74.00194,POINT (-74.00194 40.680473)
Waring Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.860617,-73.871241,POINT (-73.871241 40.860617)
Albemarle Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.646035,-73.980514,POINT (-73.980514 40.646035)
"Great Kills Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 4:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/great-kills,40.552432,-74.151113,POINT (-74.151113 40.552432)
Frederick B. Judge Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.683122,-73.807929,POINT (-73.807929 40.683122)
Grover Cleveland Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.710895,-73.910949,POINT (-73.910949 40.710895)
Imagination Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Single-Stall All Gender Restroom(s),,,,40.706227,-74.00402,POINT (-74.00402 40.706227)
St. John's Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.673789,-73.935309,POINT (-73.935309 40.673789)
Parkside Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.868442,-73.867988,POINT (-73.867988 40.868442)
Zimmerman Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.866092,-73.868747,POINT (-73.868747 40.866092)
"Flatbush Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Multi-Stall W/M Restrooms,Yes,,https://www.bklynlibrary.org/locations/flatbush,40.651933,-73.958244,POINT (-73.958244 40.651933)
Asser Levy Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.575424,-73.972906,POINT (-73.972906 40.575424)
St. James Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.865439,-73.898524,POINT (-73.898524 40.865439)
Ocean Hill Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.674566,-73.912033,POINT (-73.912033 40.674566)
Lawrence Virgilio Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.747494,-73.9106,POINT (-73.9106 40.747494)
"Hudson River Park Pier 40 - Courtyard Tunnel, Second Floor",Park,Hudson River Park,Operational,Year Round,"6am - 12am, 8am - 11pm",Fully Accessible,,,,,40.728807,-74.011616,POINT (-74.011616 40.728807)
645 Fifth Avenue POPS,Privately Owned Public Space,Oxford Properties,Operational,Year Round,Everyday 8:00 am-10:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,No,,,40.759207,-73.976087,POINT (-73.976087 40.759207)
Albert H. Mauro Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.722939,-73.827111,POINT (-73.827111 40.722939)
St. Vartan Park,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.744955,-73.973259,POINT (-73.973259 40.744955)
Washington Market Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.717488,-74.011506,POINT (-74.011506 40.717488)
Rosemary's Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.704624,-73.904435,POINT (-73.904435 40.704624)
The Boathouse,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.660831,-73.965282,POINT (-73.965282 40.660831)
